Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Caller","pre_c_init",21,21,21,21,0.00,0.00,0.00,0.00,21,63,0,21,21,0,21,21,0,21,21,0,21,21,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",197,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1484,"__matherr","perfPlay.exe",3836,
"Root","__onexit",3968,0,3968,0,0.10,0.00,0.10,0.00,571,571,3968,3968,3968,0,0,0,0,3968,3968,0,0,0,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\atonexit.c",79,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1868,"__onexit","perfPlay.exe",3836,
"Caller","_atexit",3968,0,3968,0,0.10,0.00,0.10,0.00,571,571,0,3968,3968,0,0,0,0,3968,3968,0,0,0,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\atonexit.c",126,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1A35,"__onexit","perfPlay.exe",3836,
"Callee","__onexit",3342,3342,3342,3342,0.09,0.09,0.09,0.09,0,0,0,3342,3342,0,3342,3342,0,3342,3342,0,3342,3342,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\onexit.c",81,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744DA9E6,"__onexit","perfPlay.exe",3836,
"Callee","__SEH_epilog4",87,87,87,87,0.00,0.00,0.00,0.00,0,0,0,87,87,0,87,87,0,87,87,0,87,87,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1D95,"__onexit","perfPlay.exe",3836,
"Callee","__SEH_prolog4",96,96,96,96,0.00,0.00,0.00,0.00,0,0,0,96,96,0,96,96,0,96,96,0,96,96,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1D50,"__onexit","perfPlay.exe",3836,
"Callee","RtlDecodePointer",570,570,570,570,0.01,0.01,0.01,0.01,0,0,0,570,570,0,570,570,0,570,570,0,570,570,1,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77979D55,"__onexit","perfPlay.exe",3836,
"Root","__onexit",3342,3342,3342,3342,0.09,0.09,0.09,0.09,0,0,3342,3342,3342,3342,3342,3342,0,3342,3342,0,3342,3342,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\onexit.c",81,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744DA9E6,"__onexit","perfPlay.exe",3836,
"Caller","__onexit",3342,3342,3342,3342,0.09,0.09,0.09,0.09,0,0,0,3342,3342,0,3342,3342,0,3342,3342,0,3342,3342,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\atonexit.c",79,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1868,"__onexit","perfPlay.exe",3836,
"Root","__RTC_Initialize",60,60,60,60,0.00,0.00,0.00,0.00,60,63,60,60,60,60,60,60,0,60,60,0,60,60,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1A62,"__RTC_Initialize","perfPlay.exe",3836,
