Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Root","Add(void *)",25437319105,5229260383,25437319105,5229260383,31.55,6.48,31.55,6.48,2676985037,2676985037,25437319105,25437319105,25437319105,5229260383,5229260383,5229260383,0,25437319105,25437319105,0,5229260383,5229260383,1,"c:\users\doug\documents\visual studio 2010\projects\perfplay\perfplay\perfplay.cpp",44,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A41000,"Add(void *)","perfPlay.exe",6228,
"Callee","RtlEnterCriticalSection",10710888452,10710888452,10710888452,10710888452,13.28,13.28,13.28,13.28,0,0,0,1008,518949732,0,1008,518949732,0,1008,518949732,0,1008,518949732,10622957,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x779F22A0,"Add(void *)","perfPlay.exe",6228,
"Callee","RtlLeaveCriticalSection",9497170270,9497170270,9497170270,9497170270,11.78,11.78,11.78,11.78,0,0,0,894,784264058,0,894,784264058,0,894,784264058,0,894,784264058,10622956,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x779F2260,"Add(void *)","perfPlay.exe",6228,
"Root","CreateThread",307237,307237,307237,307237,0.00,0.00,0.00,0.00,0,0,122971,153618,184266,122971,153618,184266,0,153618,184266,0,153618,184266,2,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D34A5,"CreateThread","perfPlay.exe",6228,
"Caller","_wmain",307237,307237,307237,307237,0.00,0.00,0.00,0.00,0,0,0,153618,184266,0,153618,184266,0,153618,184266,0,153618,184266,2,"c:\users\doug\documents\visual studio 2010\projects\perfplay\perfplay\perfplay.cpp",87,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A410D2,"CreateThread","perfPlay.exe",6228,
"Root","DoStuffInLib(void)",43470411,0,43470411,0,0.05,0.00,0.05,0.00,43470411,64627389,43470411,43470411,43470411,0,0,0,0,43470411,43470411,0,0,0,1,"c:\users\doug\documents\visual studio 2010\projects\perfplay\perfplaylib\somefunc.cpp",18,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A411AE,"DoStuffInLib(void)","perfPlay.exe",6228,
"Caller","_wmain",43470411,0,43470411,0,0.05,0.00,0.05,0.00,43470411,64627389,0,43470411,43470411,0,0,0,0,43470411,43470411,0,0,0,1,"c:\users\doug\documents\visual studio 2010\projects\perfplay\perfplay\perfplay.cpp",87,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A410D2,"DoStuffInLib(void)","perfPlay.exe",6228,
"Callee","_printf",382062,382062,382062,382062,0.00,0.00,0.00,0.00,0,0,0,382062,382062,0,382062,382062,0,382062,382062,0,382062,382062,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\printf.c",49,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71DE5584,"DoStuffInLib(void)","perfPlay.exe",6228,
"Callee","THUNK:_CIsin",66053415,4308312,66053415,4308312,0.08,0.01,0.08,0.01,31303800,31303800,0,130,1035937,0,8,104122,0,130,1035937,0,8,104122,504900,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A422B8,"DoStuffInLib(void)","perfPlay.exe",6228,
"Root","GetCurrentProcessId",252,252,252,252,0.00,0.00,0.00,0.00,0,0,252,252,252,252,252,252,0,252,252,0,252,252,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D11F8,"GetCurrentProcessId","perfPlay.exe",6228,
"Caller","___security_init_cookie",252,252,252,252,0.00,0.00,0.00,0.00,0,0,0,252,252,0,252,252,0,252,252,0,252,252,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\gs_support.c",97,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A42054,"GetCurrentProcessId","perfPlay.exe",6228,
"Root","GetCurrentThreadId",153,153,153,153,0.00,0.00,0.00,0.00,0,0,153,153,153,153,153,153,0,153,153,0,153,153,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D1450,"GetCurrentThreadId","perfPlay.exe",6228,
